slot,id,legacy_code,code,name,category,url,write_status,physical_label,notes
M21-01,the-original,><}}}0>,><)))0>,THE ORIGINAL,CORE / IDENTITY,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=the-original&set=21_v2,pilot,M21-01,pilot candidate
M21-02,quiet-fish,><}}}•>,><)))•>,QUIET FISH,CORE / IDENTITY,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=quiet-fish&set=21_v2,do-not-write-yet,M21-02,
M21-03,the-twenty-one,><}}}21>,><)))21>,THE TWENTY-ONE,CORE / IDENTITY,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=the-twenty-one&set=21_v2,do-not-write-yet,M21-03,hero / birthday object
M21-04,birthday-only-fish,*><}}}21>*,*><)))21>*,BIRTHDAY-ONLY FISH,CORE / IDENTITY,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=birthday-only-fish&set=21_v2,do-not-write-yet,M21-04,hero / birthday object
M21-05,confirmed,><}}}✓>,><)))✓>,CONFIRMED,EVERYDAY CONVERSATION,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=confirmed&set=21_v2,do-not-write-yet,M21-05,
M21-06,question-fish,><}}}?>,><)))?>,QUESTION FISH,EVERYDAY CONVERSATION,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=question-fish&set=21_v2,do-not-write-yet,M21-06,
M21-07,processing-fish,><}}}…>,><)))…>,PROCESSING FISH,EVERYDAY CONVERSATION,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=processing-fish&set=21_v2,do-not-write-yet,M21-07,
M21-08,side-eye-fish,><}}}¬>,><)))¬>,SIDE-EYE FISH,EVERYDAY CONVERSATION,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=side-eye-fish&set=21_v2,do-not-write-yet,M21-08,
M21-09,more-fish,><}}}+>,><)))+>,MORE FISH,EVERYDAY CONVERSATION,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=more-fish&set=21_v2,do-not-write-yet,M21-09,
M21-10,reduced-capacity-fish,><}}}%>,><)))%>,REDUCED-CAPACITY FISH,COOKED / FUNNY / USEFUL,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=reduced-capacity-fish&set=21_v2,do-not-write-yet,M21-10,
M21-11,internet-fish,><}}}@>,><)))@>,INTERNET FISH,COOKED / FUNNY / USEFUL,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=internet-fish&set=21_v2,do-not-write-yet,M21-11,
M21-12,dead-fully-done-fish,><}}}×>,><)))×>,DEAD / FULLY-DONE FISH,COOKED / FUNNY / USEFUL,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=dead-fully-done-fish&set=21_v2,do-not-write-yet,M21-12,
M21-13,wobble-fish,><}}}0>~,><)))0>~,WOBBLE FISH,COOKED / FUNNY / USEFUL,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=wobble-fish&set=21_v2,do-not-write-yet,M21-13,
M21-14,what-is-happening-fish,><}}}0>???,><)))0>???,WHAT-IS-HAPPENING FISH,COOKED / FUNNY / USEFUL,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=what-is-happening-fish&set=21_v2,do-not-write-yet,M21-14,
M21-15,everything-fish,><}}}0>!!!,><)))0>!!!,EVERYTHING FISH,COOKED / FUNNY / USEFUL,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=everything-fish&set=21_v2,do-not-write-yet,M21-15,
M21-16,reboot-fish,><}}}0>↺,><)))0>↺,REBOOT FISH,COOKED / FUNNY / USEFUL,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=reboot-fish&set=21_v2,do-not-write-yet,M21-16,
M21-17,love-fish,><}}}♡>,><)))♡>,LOVE FISH,LOVE / CARE / HOME,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=love-fish&set=21_v2,pilot,M21-17,pilot candidate
M21-18,thinking-of-you-fish,><}}}0>⋯♡,><)))0>⋯♡,THINKING-OF-YOU FISH,LOVE / CARE / HOME,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=thinking-of-you-fish&set=21_v2,do-not-write-yet,M21-18,
M21-19,proud-win-fish,><}}}0>✦,><)))0>✦,PROUD / WIN FISH,LOVE / CARE / HOME,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=proud-win-fish&set=21_v2,do-not-write-yet,M21-19,
M21-20,got-you-fish,><}}}0>☂,><)))0>☂,GOT-YOU FISH,LOVE / CARE / HOME,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=got-you-fish&set=21_v2,do-not-write-yet,M21-20,
M21-21,home-fish,><}}}0>⌂,><)))0>⌂,HOME FISH,LOVE / CARE / HOME,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=home-fish&set=21_v2,do-not-write-yet,M21-21,
M21-22,hug-whisper-fish,(><}}}0>),(><)))0>),HUG / WHISPER FISH,LOVE / CARE / HOME,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=hug-whisper-fish&set=21_v2,do-not-write-yet,M21-22,
M21-23,no-words-fish,><}}}0>—♡,><)))0>—♡,NO-WORDS FISH,LOVE / CARE / HOME,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=no-words-fish&set=21_v2,do-not-write-yet,M21-23,
M21-24,not-going-anywhere-keep-going-not-goodbye,><}}}0>∞,><)))0>∞,NOT-GOING-ANYWHERE FISH,LOVE / CARE / HOME,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=not-going-anywhere-keep-going-not-goodbye&set=21_v2,do-not-write-yet,M21-24,
M21-25,good-track-fish,><}}}0>♪,><)))0>♪,GOOD-TRACK FISH,MUSIC / CREATIVE,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=good-track-fish&set=21_v2,pilot,M21-25,pilot candidate
M21-26,re-room-fish,><}}}0>≈,><)))0>≈,RE-ROOM FISH,MUSIC / CREATIVE,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=re-room-fish&set=21_v2,do-not-write-yet,M21-26,
M21-27,groove-fish,><}}}0>∿,><)))0>∿,GROOVE FISH,MUSIC / CREATIVE,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=groove-fish&set=21_v2,do-not-write-yet,M21-27,
M21-28,strange-good-fish,><}}}0>※,><)))0>※,STRANGE-GOOD FISH,MUSIC / CREATIVE,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=strange-good-fish&set=21_v2,do-not-write-yet,M21-28,
M21-29,twenty-one-activated,><}}}21>!,><)))21>!,TWENTY-ONE ACTIVATED,BIRTHDAY / SPECIAL,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=twenty-one-activated&set=21_v2,do-not-write-yet,M21-29,hero / birthday object
M21-30,mimi-code,><}}}0>/21,><)))0>/21,MIMI CODE,BIRTHDAY / SPECIAL,https://jujubeans85.github.io/FONT_JUICE/working.html?fish=mimi-code&set=21_v2,do-not-write-yet,M21-30,hero / birthday object
